#Y2S-Npart
#Npart	etabar=1/4pi	        etabar=2/4pi	        etabar=3/4pi
66	0.26101731026675024	0.32438015928095976	0.36760587802454175
67	0.25782310461861846	0.3205382152468204	0.3634642168809981
68	0.2546864848970108	0.31677519882760563	0.3594053529429315
69	0.2516074511019273	0.3130911100233152	0.3554292862103419
70	0.24858600323336782	0.3094859488339493	0.3515360166832293
71	0.2456221412913325	0.3059597152595079	0.3477255443615938
72	0.24271586527582134	0.3025124092999909	0.3439978692454353
73	0.23986717518683426	0.29914403095539843	0.3403529913347538
74	0.2370760710243714	0.29585458022573047	0.3367909106295493
75	0.2343425527884326	0.29264405711098695	0.3333116271298219
76	0.23166620090525536	0.2895112299466067	0.32991373967664483
77	0.22903997631656908	0.2864354354800472	0.32657374146332224
78	0.22646136649179227	0.28340929814316673	0.323283241939808
79	0.22393037143092498	0.28043281793596553	0.320042241106102
80	0.22144699113396704	0.27750599485844346	0.3168507389622044
81	0.2190112256009187	0.27462882891060053	0.31370873550811507
82	0.21662307483177975	0.2718013200924367	0.31061623074383404
83	0.21428253882655018	0.269023468403952	0.3075732246693613
84	0.21198961758523016	0.26629527384514656	0.3045797172846969
85	0.20974431110781952	0.2636167364160202	0.30163570858984073
86	0.2075466193943184	0.260987856116573	0.298741198584793
87	0.20539654244472677	0.258408632946805	0.2958961872695535
88	0.20329408025904452	0.25587906690671597	0.2931006746441223
89	0.2012392328372718	0.25339915799630625	0.29035466070849947
90	0.19923200017940845	0.2509689062155756	0.2876581454626849
91	0.19727238228545466	0.24858831156452413	0.2850111289066787
92	0.19536037915541024	0.2462573740431518	0.28241361104048074
93	0.19349599078927532	0.24397609365145861	0.2798655918640911
94	0.19167921718704986	0.2417444703894446	0.2773670713775098
95	0.18991005834873387	0.2395625042571097	0.27491804958073685
96	0.1881885142743273	0.23743019525445394	0.27251852647377206
97	0.18651458496383022	0.2353475433814774	0.2701685020566157
98	0.18488827041724257	0.23331454863817996	0.2678679763292676
99	0.18330957063456435	0.2313312110245616	0.2656169492917278
100	0.18177848561579568	0.22939753054062245	0.2634154209439964
101	0.18029501536093637	0.22751350718636248	0.2612633912860733
102	0.178848422331849	0.22566933779110038	0.25915239094378356
103	0.1774179880220376	0.22384610674747474	0.2570660779231237
104	0.17600319152124905	0.22204333847420651	0.2550040413492927
105	0.17460403282948336	0.22026103297129565	0.25296628122229053
106	0.17322051194674049	0.21849919023874223	0.2509527975421173
107	0.1718526288730204	0.21675781027654617	0.2489635903087729
108	0.1705003836083232	0.21503689308470758	0.24699865952225739
109	0.16916377615264885	0.21333643866322632	0.2450580051825707
110	0.1678428065059973	0.21165644701210246	0.24314162728971284
111	0.16653747466836863	0.20999691813133597	0.24124952584368384
112	0.16524778063976278	0.20835785202092694	0.23938170084448376
113	0.16397372442017977	0.2067392486808753	0.23753815229211248
114	0.16271530600961956	0.20514110811118105	0.2357188801865701
115	0.1614725254080822	0.2035634303118442	0.2339238845278566
116	0.16024538261556764	0.20200621528286472	0.2321531653159718
117	0.15903387763207602	0.20046946302424265	0.23040672255091602
118	0.15783801045760718	0.19895317353597802	0.22868455623268905
119	0.15665778109216116	0.19745734681807073	0.22698666636129092
120	0.155493189535738	0.1959819828705209	0.22531305293672166
121	0.15434423578833767	0.19452708169332839	0.22366371595898127
122	0.1532109198499602	0.19309264328649337	0.22203865542806975
123	0.1520932417206055	0.19167866765001568	0.220437871343987
124	0.15099120140027372	0.1902851547838954	0.21886136370673323
125	0.14990479888896469	0.18891210468813255	0.2173091325163082
126	0.14883403418667857	0.18755951736272708	0.21578117777271213
127	0.14777890729341528	0.18622739280767897	0.21427749947594488
128	0.14673941820917477	0.18491573102298833	0.2127980976260065
129	0.14571556693395712	0.18362453200865506	0.21134297222289694
130	0.14470735346776234	0.18235379576467914	0.20991212326661624
131	0.1437147778105904	0.1811035222910607	0.20850555075716443
132	0.14273783996244124	0.17987371158779958	0.2071232546945415
133	0.141776539923315	0.1786643636548959	0.2057652350787474
134	0.14083087769321154	0.17747547849234968	0.20443149190978216
135	0.1399008532721309	0.17630705610016073	0.2031220251876457
136	0.1389864666600731	0.17515909647832925	0.20183683491233817
137	0.1380877178570382	0.17403159962685516	0.20057592108385952
138	0.13720460686302607	0.17292456554573848	0.19933928370220966
139	0.13633600607267515	0.17183646960241122	0.19812491455465103
140	0.1354762687709154	0.17075967688665533	0.19692275710410503
141	0.1346246185455591	0.1696931376133706	0.1957314285965531
142	0.13378105539660612	0.16863685178255694	0.1945509290319952
143	0.13294557932405662	0.16759081939421439	0.19338125841043127
144	0.13211819032791056	0.1665550404483429	0.19222241673186147
145	0.1312988884081678	0.16552951494494256	0.19107440399628567
146	0.13048767356482854	0.16451424288401328	0.18993722020370396
147	0.12968454579789268	0.16350922426555517	0.1888108653541163
148	0.1288895051073602	0.16251445908956816	0.18769533944752265
149	0.12810255149323113	0.1615299473560522	0.18659064248392312
150	0.1273236849555055	0.16055568906500736	0.18549677446331755
151	0.1265529054941833	0.1595916842164337	0.18441373538570613
152	0.12579021310926444	0.15863793281033106	0.1833415252510887
153	0.12503560780074902	0.15769443484669954	0.18228014405946533
154	0.12428908956863703	0.15676119032553915	0.181229591810836
155	0.12355065841292845	0.15583819924684988	0.18018986850520077
156	0.12282031433362325	0.1549254616106317	0.17916097414255958
157	0.12209805733072146	0.15402297741688462	0.17814290872291239
158	0.12138388740422311	0.15313074666560864	0.1771356722462593
159	0.12067780455412815	0.15224876935680376	0.17613926471260022
160	0.1199798087804366	0.15137704549047004	0.17515368612193521
161	0.11928990008314845	0.15051557506660737	0.17417893647426427
162	0.11860807846226373	0.1496643580852158	0.1732150157695874
163	0.11793434391778243	0.1488233945462954	0.17226192400790455
164	0.11726869644970452	0.14799268444984603	0.17131966118921574
165	0.11661113605803003	0.14717222779586783	0.170388227313521
166	0.11596166274275896	0.1463620245843607	0.16946762238082033
167	0.11532027650389126	0.1455620748153247	0.16855784639111368
168	0.11468697734142702	0.1447723784887598	0.1676588993444011
169	0.11406176525536617	0.143992935604666	0.16677078124068254
170	0.11344464024570872	0.14322374616304331	0.16589349207995807
171	0.11283560231245468	0.14246481016389173	0.1650270318622276
172	0.11223465145560407	0.14171612760721125	0.16417140058749122
173	0.11164178767515683	0.14097769849300187	0.1633265982557489
174	0.11105701097111305	0.1402495228212636	0.16249262486700064
175	0.11048032134347265	0.13953160059199646	0.1616694804212464
176	0.10991171879223569	0.13882393180520042	0.16085716491848623
177	0.10935120331740211	0.13812651646087548	0.16005567835872012
178	0.10879877491897194	0.13743935455902162	0.15926502074194807
179	0.1082544335969452	0.13676244609963892	0.15848519206817002
180	0.1077164930732369	0.13609350794636646	0.1577139518384222
181	0.10718269168759793	0.13542947792411195	0.15694829506349792
182	0.10665301766651386	0.1347703400921244	0.15618820610033857
183	0.10612747100998465	0.1341160944504039	0.1554336849489442
184	0.10560605171801035	0.1334667409989504	0.1546847316093147
185	0.1050887597905909	0.1328222797377639	0.15394134608145021
186	0.1045755952277264	0.1321827106668444	0.1532035283653506
187	0.10406655802941672	0.1315480337861919	0.1524712784610159
188	0.10356164819566199	0.1309182490958064	0.1517445963684462
189	0.10306086572646213	0.13029335659568794	0.1510234820876414
190	0.10256421062181716	0.12967335628583648	0.15030793561860153
191	0.10207168288172708	0.12905824816625205	0.14959795696132663
192	0.10158328250619188	0.1284480322369346	0.14889354611581665
193	0.10109900949521154	0.12784270849788412	0.1481947030820716
194	0.10061886384878616	0.12724227694910073	0.14750142786009154
195	0.1001428455669156	0.1266467375905843	0.14681372044987637
196	0.09967095464959998	0.12605609042233487	0.1461315808514261
197	0.09920319109683923	0.12547033544435246	0.14545500906474082
198	0.09873955490863337	0.12488947265663704	0.14478400508982048
199	0.0982800460849824	0.12431350205918865	0.14411856892666508
200	0.0978246646258863	0.12374242365200727	0.14345870057527457
201	0.09737341053134513	0.12317623743509287	0.14280440003564907
202	0.09692628380135881	0.1226149434084455	0.14215566730778842
203	0.09648328443592738	0.12205854157206511	0.14151250239169275
204	0.09604441243505087	0.12150703192595179	0.14087490528736205
205	0.09560966779872922	0.1209604144701054	0.14024287599479623
206	0.09517905052696249	0.12041868920452609	0.1396164145139954
207	0.09475256061975061	0.1198818561292137	0.13899552084495945
208	0.09433019807709364	0.11934991524416841	0.13838019498768847
209	0.09391196289899158	0.1188228665493901	0.1377704369421824
210	0.09349785508544438	0.11830071004487876	0.1371662467084413
211	0.09308787463645207	0.11778344573063446	0.13656762428646516
212	0.09268202155201463	0.11727107360665714	0.13597456967625388
213	0.09228029583213213	0.11676359367294686	0.1353870828778076
214	0.09188269747680447	0.11626100592950356	0.1348051638911262
215	0.09148922648603174	0.11576331037632728	0.13422881271620982
216	0.09109988285981387	0.11527050701341802	0.13365802935305832
217	0.0907146665981509	0.11478259584077576	0.13309281380167176
218	0.09033357770104283	0.1142995768584005	0.13253316606205018
219	0.08995661616848963	0.11382145006629227	0.13197908613419349
220	0.08958378200049133	0.11334821546445101	0.13143057401810174
221	0.0892150751970479	0.11287987305287678	0.13088762971377493
222	0.0888502825199027	0.11241620935188315	0.13035001636210156
223	0.08848761377502916	0.11195543214057435	0.1298157454654586
224	0.08812666540472998	0.11149713740434247	0.12928436876320507
225	0.08776743740900524	0.11104132514318761	0.12875588625534098
226	0.08740992978785488	0.11058799535710966	0.12823029794186638
227	0.08705414254127891	0.11013714804610865	0.12770760382278123
228	0.08670007566927736	0.10968878321018466	0.1271878038980856
229	0.08634772917185023	0.10924290084933762	0.1266708981677794
230	0.08599710304899745	0.10879950096356751	0.12615688663186264
231	0.08564819730071913	0.10835858355287438	0.12564576929033536
232	0.08530101192701517	0.10792014861725818	0.1251375461431975
233	0.08495554692788565	0.10748419615671895	0.12463221719044915
234	0.08461180230333046	0.10705072617125669	0.12412978243209025
235	0.08426977805334974	0.1066197386608714	0.12363024186812083
236	0.0839294741779434	0.10619123362556303	0.12313359549854083
237	0.08359089067711148	0.10576521106533167	0.12263984332335033
238	0.08325402755085394	0.10534167098017723	0.12214898534254928
239	0.08291888479917081	0.10492061337009975	0.12166102155613769
240	0.08258546242206208	0.10450203823509926	0.12117595196411557
241	0.08225376041952775	0.1040859455751757	0.1206937765664829
242	0.08192377879156783	0.10367233539032912	0.12021449536323969
243	0.08159551753818231	0.10326120768055945	0.11973810835438597
244	0.08126897665937119	0.10285256244586677	0.11926461553992168
245	0.08094415615513448	0.10244639968625108	0.11879401691984688
246	0.08062105602547216	0.10204271940171232	0.11832631249416153
247	0.08029967627038426	0.10164152159225054	0.11786150226286564
248	0.07998001688987075	0.10124280625786569	0.11739958622595922
249	0.07966207788393165	0.1008465733985578	0.11694056438344227
250	0.07934585925256693	0.10045282301432691	0.11648443673531476
251	0.07903136099577664	0.10006155510517292	0.11603120328157673
252	0.07871858311356074	0.09967276967109591	0.11558086402222816
253	0.07840752560591922	0.09928646671209587	0.11513341895726904
254	0.07809818847285213	0.0989026462281728	0.11468886808669938
255	0.07779057171435946	0.0985213082193267	0.11424721141051923
256	0.07748467533044115	0.0981424526855575	0.11380844892872848
257	0.07718049932109727	0.09776607962686529	0.11337258064132723
258	0.07687804368632781	0.09739218904325006	0.11293960654831545
259	0.07657730842613271	0.09702078093471178	0.11250952664969312
260	0.07627829354051201	0.09665185530125042	0.1120823409454602
261	0.07598099902946576	0.09628541214286607	0.11165804943561683
262	0.07568542489299386	0.09592145145955866	0.11123665212016287
263	0.07539157113109639	0.0955599732513282	0.11081814899909836
264	0.07509943774377331	0.09520097751817472	0.11040254007242335
265	0.07480901170961507	0.09484431897423683	0.10998971287296302
266	0.07452025465969819	0.09448956951977076	0.10957933600461135
267	0.0742331640894858	0.0941367012105058	0.10917138783544116
268	0.07394773999897787	0.09378571404644195	0.1087658683654524
269	0.07366398238817445	0.09343660802757923	0.10836277759464515
270	0.07338189125707555	0.09308938315391763	0.10796211552301936
271	0.0731014666056811	0.09274403942545714	0.10756388215057502
272	0.07282270843399118	0.09240057684219775	0.10716807747731216
273	0.07254561674200576	0.0920589954041395	0.10677470150323078
274	0.07227019152972479	0.09171929511128235	0.10638375422833085
275	0.07199643279714836	0.09138147596362636	0.1059952356526124
276	0.07172434054427637	0.09104553796117143	0.1056091457760754
277	0.0714539147711089	0.09071148110391763	0.1052254845987199
278	0.07118515547764592	0.09037930539186494	0.10484425212054585
